Replacement,Original
January,january
February,february
April,april
June,june
July,july
August,august
September,september
October,october
November,november
December,december
cache,cash
rows,rose
root,route
syncing,sinking
build,billed
close,clothes
column,alum
column,callum
column,Calum
add,ad
set,et
append,upend
had,head
sliding,lightning
versus,verses
hi,high
I'll,isle
return,er turn
